3,44,537,3.77,-6.13,-4.03,5.96,16.19,55.95,24.57,23.94,49.77,49.14
4,42,422,3.73,-5.98,-3.88,5.85,15.61,47.43,24.47,23.78,49.64,48.95
5,40,307,3.69,-5.84,-3.73,5.73,15.07,40.43,24.34,23.61,49.48,48.75
5.5,39,249,3.67,-5.76,-3.65,5.67,14.82,37.35,24.28,23.51,49.40,48.63
6,38,192,3.65,-5.69,-3.57,5.61,14.58,34.53,24.21,23.41,49.32,48.52
6.5,37,134,3.63,-5.62,-3.49,5.54,14.36,31.96,24.13,23.28,49.23,48.38
7,36,077,3.61,-5.54,-3.40,5.48,14.14,29.59,24.04,23.16,49.13,48.24
7.5,35,019,3.59,-5.47,-3.32,5.42,13.93,27.45,23.94,22.96,49.01,48.03
8,33,961,3.57,-5.40,-3.23,5.35,13.74,25.49,23.82,22.68,48.88,47.74
8.5,32,904,3.55,-5.32,-3.13,5.28,13.55,23.68,23.70,22.32,48.75,47.37
9,31,846,3.53,-5.25,-3.04,5.21,13.38,22.04,23.61,22.02,48.65,47.06
9.5,30,789,3.51,-5.18,-2.94,5.15,13.22,20.55,23.39,21.50,48.42,46.53
