3,44,852,3.92,-5.79,-4.05,5.84,13.80,57.95,24.57,23.98,49.64,49.04
4,42,857,3.92,-5.50,-3.91,5.67,12.42,46.94,24.47,23.82,49.44,48.79
5,40,862,3.92,-5.21,-3.77,5.49,11.20,38.08,24.34,23.66,49.22,48.54
5.5,39,865,3.92,-5.07,-3.70,5.41,10.64,34.39,24.27,23.57,49.10,48.41
6,38,867,3.92,-4.92,-3.62,5.32,10.11,30.98,24.20,23.46,48.99,48.26
6.5,37,870,3.92,-4.77,-3.55,5.23,9.61,28.00,24.13,23.34,48.88,48.09
7,36,872,3.92,-4.63,-3.47,5.14,9.15,25.29,24.04,23.17,48.75,47.88
7.5,35,874,3.92,-4.48,-3.39,5.05,8.70,22.90,23.94,22.98,48.61,47.64
8,34,877,3.92,-4.34,-3.30,4.96,8.29,20.76,23.82,22.68,48.44,47.30
8.5,33,879,3.92,-4.19,-3.22,4.86,7.90,18.80,23.69,22.23,48.27,46.81
9,32,882,3.92,-4.05,-3.13,4.77,7.53,17.08,23.52,21.69,48.06,46.22
9.5,31,884,3.92,-3.90,-3.04,4.68,7.18,15.55,23.39,21.31,47.88,45.80
